file	source	article_id	genre	topic	category	url	n_sentences	n_chars
pol-774641.txt	politika	774641	vest	kultura	kultura	https://www.politika.rs/sr/clanak/774641/senzualnost-pisanja-u-dopunjenom-izdanju	8	2657
pol-775535.txt	politika	775535	vest	pol-drustvo	beograd	https://www.politika.rs/sr/clanak/775535/puzovic-rekonstrukcija-savskog-nasipa-nastavlja-planiranom-dinamikom	8	1376
pol-775648.txt	politika	775648	kolumna	svet	pogledi	https://www.politika.rs/sr/clanak/775648/novi-svet-ilona-marksa	8	7218
pol-776155.txt	politika	776155	vest	kultura	kultura	https://www.politika.rs/sr/clanak/776155/boj-dzordz-ne-ce-ponovo-igrati	8	4171
pol-776920.txt	politika	776920	vest	kultura	kultura	https://www.politika.rs/sr/clanak/776920/pocinje-65-dragacevski-sabor-trubaca-guca-od-veceras-prestonica-trube-i-tradicije	8	1349
pol-777373.txt	politika	777373	kolumna	pol-drustvo	pogledi	https://www.politika.rs/sr/clanak/777373/jedinstvo-koje-ih-boli	8	7352
pol-779307.txt	politika	779307	vest	kultura	kultura	https://www.politika.rs/sr/clanak/779307/zan-klod-van-dam-poslao-poruku-srbiji-vidimo-se-25-avgusta-u-nisu	7	1076
pol-779333.txt	politika	779333	vest	hronika	hronika	https://www.politika.rs/sr/clanak/779333/u-knjazevcu-uhapsen-muskarac-koji-je-izazvao-pozar	7	1243
pol-781011.txt	politika	781011	vest	ekonomija	ekonomija	https://www.politika.rs/sr/clanak/781011/bitkoin-pao-za-jedan-odsto-na-67-100-evra-manji-obim-trgovine-kripto-valutama	7	910
pol-781838.txt	politika	781838	vest	sport	sport	https://www.politika.rs/sr/clanak/781838/odbojkasice-srbije-protiv-hrvatske-za-cetvrtfinale-evropskog-prvenstva	7	768
pol-782395.txt	politika	782395	vest	pol-drustvo	politika	https://www.politika.rs/sr/clanak/782395/blokaderi-posle-teksta-danasa-niko-u-ruzicu-ne-vidi-srpskog-petera-madara	5	782
pol-782624.txt	politika	782624	vest	pol-drustvo	drustvo	https://www.politika.rs/sr/clanak/782624/pocinju-vojne-vezbe-pobednik-2026-na-poligonu-pester	8	1711
pol-782685.txt	politika	782685	vest	pol-drustvo	drustvo	https://www.politika.rs/sr/clanak/782685/patrijarh-porfirije-srpski-narod-prolazi-kroz-teska-iskusenja-na-kosovu-i-metohiji	6	1378
