config	model	scheme	fold	macro_f1	f1_obj	f1_subj	accuracy	n_test	best_param	n_features
w12-tfidf-lower-stem	logreg	grouped	4	0.6824	0.7097	0.6551	0.6847	314	10	9827
w12-tfidf-lower-stem	logreg	grouped	5	0.6975	0.7547	0.6403	0.7083	312	100	9873
w12-tfidf-lower-stem	logreg	grouped	6	0.69	0.7673	0.6128	0.7093	313	10	9917
w12-tfidf-lower-stem	logreg	grouped	7	0.7435	0.7867	0.7004	0.7508	309	10	9964
w12-tfidf-lower-stem	logreg	grouped	8	0.7015	0.7575	0.6454	0.712	309	10	9875
w12-tfidf-lower-stem	logreg	grouped	9	0.7199	0.7705	0.6693	0.729	310	10	9818
w12-tfidf-lower-stem	nb	plain	0	0.7616	0.7967	0.7266	0.7668	313	0.1	9860
w12-tfidf-lower-stem	nb	plain	1	0.7217	0.7742	0.6693	0.7316	313	0.1	9765
w12-tfidf-lower-stem	nb	plain	2	0.7303	0.776	0.6846	0.738	313	0.1	9858
w12-tfidf-lower-stem	nb	plain	3	0.7044	0.7422	0.6667	0.7093	313	0.1	9854
w12-tfidf-lower-stem	nb	plain	4	0.7195	0.7696	0.6693	0.7284	313	0.1	9845
w12-tfidf-lower-stem	nb	plain	5	0.7082	0.7548	0.6616	0.7157	313	0.1	9763
w12-tfidf-lower-stem	nb	plain	6	0.744	0.8021	0.686	0.7572	313	0.5	9781
w12-tfidf-lower-stem	nb	plain	7	0.7692	0.8098	0.7287	0.7764	313	0.1	9762
w12-tfidf-lower-stem	nb	plain	8	0.6687	0.7069	0.6304	0.6731	312	0.1	9826
w12-tfidf-lower-stem	nb	plain	9	0.7314	0.7805	0.6824	0.7404	312	0.1	9817
w12-tfidf-lower-stem	nb	grouped	0	0.6769	0.736	0.6178	0.6877	317	0.1	9868
w12-tfidf-lower-stem	nb	grouped	1	0.6717	0.7222	0.6212	0.6795	312	0.1	9773
w12-tfidf-lower-stem	nb	grouped	2	0.6668	0.7228	0.6107	0.6762	315	0.1	9830
w12-tfidf-lower-stem	nb	grouped	3	0.6136	0.7026	0.5246	0.6341	317	0.5	9907
w12-tfidf-lower-stem	nb	grouped	4	0.716	0.7603	0.6717	0.7229	314	0.5	9827
w12-tfidf-lower-stem	nb	grouped	5	0.7601	0.7978	0.7224	0.766	312	0.1	9873
w12-tfidf-lower-stem	nb	grouped	6	0.7373	0.7969	0.6777	0.7508	313	0.1	9917
w12-tfidf-lower-stem	nb	grouped	7	0.7426	0.7784	0.7068	0.7476	309	0.1	9964
w12-tfidf-lower-stem	nb	grouped	8	0.6932	0.7459	0.6406	0.7023	309	0.1	9875
w12-tfidf-lower-stem	nb	grouped	9	0.7145	0.7624	0.6667	0.7226	310	0.1	9818
w13-tfidf-lower-stem	logreg	plain	0	0.7374	0.7802	0.6947	0.7444	313	10	11328
w13-tfidf-lower-stem	logreg	plain	1	0.712	0.7737	0.6504	0.7252	313	10	11191
w13-tfidf-lower-stem	logreg	plain	2	0.7388	0.7947	0.6829	0.7508	313	10	11321
w13-tfidf-lower-stem	logreg	plain	3	0.7088	0.7535	0.6642	0.7157	313	10	11314
w13-tfidf-lower-stem	logreg	plain	4	0.715	0.7769	0.6531	0.7284	313	10	11289
w13-tfidf-lower-stem	logreg	plain	5	0.6856	0.7348	0.6364	0.6933	313	10	11167
w13-tfidf-lower-stem	logreg	plain	6	0.7292	0.7863	0.6721	0.7412	313	10	11252
w13-tfidf-lower-stem	logreg	plain	7	0.6661	0.7354	0.5968	0.6805	313	10	11204
w13-tfidf-lower-stem	logreg	plain	8	0.6956	0.7395	0.6517	0.7019	312	10	11257
w13-tfidf-lower-stem	logreg	plain	9	0.7173	0.7789	0.6557	0.7308	312	10	11246
w13-tfidf-lower-stem	logreg	grouped	0	0.6896	0.7552	0.624	0.7035	317	10	11382
w13-tfidf-lower-stem	logreg	grouped	1	0.6365	0.6995	0.5736	0.6474	312	10	11197
w13-tfidf-lower-stem	logreg	grouped	2	0.65	0.71	0.59	0.6603	315	10	11250
w13-tfidf-lower-stem	logreg	grouped	3	0.6294	0.7018	0.5569	0.6435	317	10	11383
w13-tfidf-lower-stem	logreg	grouped	4	0.6824	0.7097	0.6551	0.6847	314	10	11323
w13-tfidf-lower-stem	logreg	grouped	5	0.7517	0.8042	0.6992	0.7628	312	10	11338
w13-tfidf-lower-stem	logreg	grouped	6	0.6882	0.7629	0.6134	0.7061	313	10	11418
w13-tfidf-lower-stem	logreg	grouped	7	0.7538	0.7944	0.7132	0.7605	309	10	11479
